semana,data,semana_ano,familia,sku,nome_produto,demanda_total,dem_loja,dem_ecommerce,dem_marketplace,dem_retira,custo_R$,shelf_life_dias
1,2023-01-02,1,F1 - Pereciveis,F1-001,Leite Integral 1L,1200,795,184,104,117,6.8,7
2,2023-01-09,2,F1 - Pereciveis,F1-001,Leite Integral 1L,1192,801,178,130,83,6.8,7
3,2023-01-16,3,F1 - Pereciveis,F1-001,Leite Integral 1L,886,628,132,47,79,6.8,7
4,2023-01-23,4,F1 - Pereciveis,F1-001,Leite Integral 1L,1287,947,180,147,13,6.8,7
5,2023-01-30,5,F1 - Pereciveis,F1-001,Leite Integral 1L,979,679,130,96,74,6.8,7
6,2023-02-06,6,F1 - Pereciveis,F1-001,Leite Integral 1L,884,587,132,89,76,6.8,7
7,2023-02-13,7,F1 - Pereciveis,F1-001,Leite Integral 1L,1189,859,134,118,78,6.8,7
8,2023-02-20,8,F1 - Pereciveis,F1-001,Leite Integral 1L,1081,782,169,90,40,6.8,7
9,2023-02-27,9,F1 - Pereciveis,F1-001,Leite Integral 1L,813,572,119,93,29,6.8,7
10,2023-03-06,10,F1 - Pereciveis,F1-001,Leite Integral 1L,997,755,113,73,56,6.8,7
11,2023-03-13,11,F1 - Pereciveis,F1-001,Leite Integral 1L,821,594,99,98,30,6.8,7
12,2023-03-20,12,F1 - Pereciveis,F1-001,Leite Integral 1L,1054,767,119,108,60,6.8,7
13,2023-03-27,13,F1 - Pereciveis,F1-001,Leite Integral 1L,616,444,77,71,24,6.8,7
14,2023-04-03,14,F1 - Pereciveis,F1-001,Leite Integral 1L,872,630,155,68,19,6.8,7
15,2023-04-10,15,F1 - Pereciveis,F1-001,Leite Integral 1L,942,650,137,79,76,6.8,7
16,2023-04-17,16,F1 - Pereciveis,F1-001,Leite Integral 1L,850,549,164,107,30,6.8,7
17,2023-04-24,17,F1 - Pereciveis,F1-001,Leite Integral 1L,950,639,188,96,27,6.8,7
18,2023-05-01,18,F1 - Pereciveis,F1-001,Leite Integral 1L,893,628,119,93,53,6.8,7
19,2023-05-08,19,F1 - Pereciveis,F1-001,Leite Integral 1L,816,510,132,88,86,6.8,7
20,2023-05-15,20,F1 - Pereciveis,F1-001,Leite Integral 1L,885,640,179,37,29,6.8,7
21,2023-05-22,21,F1 - Pereciveis,F1-001,Leite Integral 1L,779,555,130,67,27,6.8,7
22,2023-05-29,22,F1 - Pereciveis,F1-001,Leite Integral 1L,858,571,142,63,82,6.8,7
23,2023-06-05,23,F1 - Pereciveis,F1-001,Leite Integral 1L,754,489,129,102,34,6.8,7
24,2023-06-12,24,F1 - Pereciveis,F1-001,Leite Integral 1L,1019,752,149,53,65,6.8,7
25,2023-06-19,25,F1 - Pereciveis,F1-001,Leite Integral 1L,822,547,118,72,85,6.8,7
26,2023-06-26,26,F1 - Pereciveis,F1-001,Leite Integral 1L,725,490,102,80,53,6.8,7
27,2023-07-03,27,F1 - Pereciveis,F1-001,Leite Integral 1L,745,556,113,57,19,6.8,7
28,2023-07-10,28,F1 - Pereciveis,F1-001,Leite Integral 1L,869,605,85,98,81,6.8,7
29,2023-07-17,29,F1 - Pereciveis,F1-001,Leite Integral 1L,869,614,130,22,103,6.8,7
30,2023-07-24,30,F1 - Pereciveis,F1-001,Leite Integral 1L,798,508,127,91,72,6.8,7
31,2023-07-31,31,F1 - Pereciveis,F1-001,Leite Integral 1L,1048,756,188,83,21,6.8,7
32,2023-08-07,32,F1 - Pereciveis,F1-001,Leite Integral 1L,771,602,116,19,34,6.8,7
33,2023-08-14,33,F1 - Pereciveis,F1-001,Leite Integral 1L,662,431,124,79,28,6.8,7
34,2023-08-21,34,F1 - Pereciveis,F1-001,Leite Integral 1L,944,737,102,44,61,6.8,7
35,2023-08-28,35,F1 - Pereciveis,F1-001,Leite Integral 1L,936,663,155,75,43,6.8,7
36,2023-09-04,36,F1 - Pereciveis,F1-001,Leite Integral 1L,1100,746,167,142,45,6.8,7
37,2023-09-11,37,F1 - Pereciveis,F1-001,Leite Integral 1L,1190,840,223,98,29,6.8,7
38,2023-09-18,38,F1 - Pereciveis,F1-001,Leite Integral 1L,824,640,95,80,9,6.8,7
39,2023-09-25,39,F1 - Pereciveis,F1-001,Leite Integral 1L,919,633,195,68,23,6.8,7
40,2023-10-02,40,F1 - Pereciveis,F1-001,Leite Integral 1L,1213,930,173,97,13,6.8,7
41,2023-10-09,41,F1 - Pereciveis,F1-001,Leite Integral 1L,865,604,130,95,36,6.8,7
42,2023-10-16,42,F1 - Pereciveis,F1-001,Leite Integral 1L,1001,677,203,81,40,6.8,7
43,2023-10-23,43,F1 - Pereciveis,F1-001,Leite Integral 1L,1016,707,153,118,38,6.8,7
44,2023-10-30,44,F1 - Pereciveis,F1-001,Leite Integral 1L,883,583,129,95,76,6.8,7
45,2023-11-06,45,F1 - Pereciveis,F1-001,Leite Integral 1L,963,661,89,96,117,6.8,7
46,2023-11-13,46,F1 - Pereciveis,F1-001,Leite Integral 1L,950,687,138,60,65,6.8,7
47,2023-11-20,47,F1 - Pereciveis,F1-001,Leite Integral 1L,1483,1025,159,226,73,6.8,7
48,2023-11-27,48,F1 - Pereciveis,F1-001,Leite Integral 1L,1060,749,98,144,69,6.8,7
49,2023-12-04,49,F1 - Pereciveis,F1-001,Leite Integral 1L,905,637,112,103,53,6.8,7
50,2023-12-11,50,F1 - Pereciveis,F1-001,Leite Integral 1L,1464,1025,212,115,112,6.8,7
51,2023-12-18,51,F1 - Pereciveis,F1-001,Leite Integral 1L,1615,1087,294,143,91,6.8,7
52,2023-12-25,52,F1 - Pereciveis,F1-001,Leite Integral 1L,1562,1116,200,176,70,6.8,7
53,2024-01-01,1,F1 - Pereciveis,F1-001,Leite Integral 1L,1570,1149,180,107,134,6.8,7
54,2024-01-08,2,F1 - Pereciveis,F1-001,Leite Integral 1L,1205,905,147,111,42,6.8,7
55,2024-01-15,3,F1 - Pereciveis,F1-001,Leite Integral 1L,649,420,123,88,18,6.8,7
56,2024-01-22,4,F1 - Pereciveis,F1-001,Leite Integral 1L,1021,702,131,121,67,6.8,7
57,2024-01-29,5,F1 - Pereciveis,F1-001,Leite Integral 1L,823,617,136,45,25,6.8,7
58,2024-02-05,6,F1 - Pereciveis,F1-001,Leite Integral 1L,1107,778,153,102,74,6.8,7
59,2024-02-12,7,F1 - Pereciveis,F1-001,Leite Integral 1L,832,545,158,92,37,6.8,7
60,2024-02-19,8,F1 - Pereciveis,F1-001,Leite Integral 1L,762,503,113,111,35,6.8,7
61,2024-02-26,9,F1 - Pereciveis,F1-001,Leite Integral 1L,951,676,107,80,88,6.8,7
62,2024-03-04,10,F1 - Pereciveis,F1-001,Leite Integral 1L,1182,830,156,148,48,6.8,7
63,2024-03-11,11,F1 - Pereciveis,F1-001,Leite Integral 1L,1189,790,160,156,83,6.8,7
64,2024-03-18,12,F1 - Pereciveis,F1-001,Leite Integral 1L,872,601,130,67,74,6.8,7
65,2024-03-25,13,F1 - Pereciveis,F1-001,Leite Integral 1L,866,621,135,79,31,6.8,7
66,2024-04-01,14,F1 - Pereciveis,F1-001,Leite Integral 1L,779,519,116,106,38,6.8,7
67,2024-04-08,15,F1 - Pereciveis,F1-001,Leite Integral 1L,1066,713,178,120,55,6.8,7
68,2024-04-15,16,F1 - Pereciveis,F1-001,Leite Integral 1L,884,611,151,97,25,6.8,7
69,2024-04-22,17,F1 - Pereciveis,F1-001,Leite Integral 1L,767,555,102,70,40,6.8,7
70,2024-04-29,18,F1 - Pereciveis,F1-001,Leite Integral 1L,1147,794,176,112,65,6.8,7
